prefecture,prefecture_code,fiscal_year,fund_total_million_yen,fiscal_adjustment_fund_million_yen,debt_reduction_fund_million_yen,other_specific_funds_million_yen,cash_deposit_million_yen,trust_million_yen,securities_million_yen,local_bonds_million_yen,equity_contributions_million_yen,source_other_million_yen,other_assets_million_yen,standard_financial_scale_million_yen,revenue_total_million_yen,expenditure_total_million_yen,securities_ratio_pct,cash_deposit_ratio_pct,local_bond_ratio_pct,local_bond_share_of_securities_pct,fund_to_standard_scale_pct,securities_to_standard_scale_pct,securities_ratio_yoy_change_pt
東京都,130001,2023,2593793.379,632240.776,0.0,1961552.603,2383898.277,0.0,104115.157,0.0,0.0,105779.945,105779.945,4232272.381,8898726.626,8353285.707,4.01401121010418,91.90779405563435,0.0,0.0,61.28606917277709,2.460029686827475,-0.2677502036256083
神奈川県,140007,2023,376589.483,70891.529,56174.494,249523.46,359370.19,0.0,17002.196,17002.196,0.0,217.097,217.097,1414177.145,2251237.949,2207423.64,4.514782479998253,95.4275693354931,4.514782479998253,100.0,26.62958345292732,1.2022677682292764,-0.4467282049166421
新潟県,150002,2023,132596.931,51525.116,43307.182,37764.633,129056.396,0.0,3461.402,0.0,0.0,79.133,79.133,552223.066,1148075.153,1122782.289,2.6104691668919546,97.32985147295753,0.0,0.0,24.011479991312065,0.6268122816876324,2.5914344555099684
富山県,160008,2023,61415.984,2556.494,23974.991,34884.499,46833.613,0.0,14484.314,560.0,0.0,98.057,98.057,309874.046,617351.15,588990.295,23.583948439220645,76.25639117009018,0.9118147484211927,3.8662514496716933,19.819660533944816,4.674258521154108,9.890241217132948
石川県,170003,2023,143259.534,15463.501,53451.42,74344.613,142592.217,0.0,10.029,0.0,0.0,657.288,657.288,316093.206,693732.898,652501.5,0.007000581196920547,99.53419016426508,0.0,0.0,45.32192760890913,0.0031727983422712345,-0.00041805793528464
福井県,180009,2023,47234.047,10427.242,3461.061,33345.744,46334.047,0.0,900.0,0.0,0.0,0.0,0.0,264055.575,539080.066,523817.438,1.9054052260226613,98.09459477397733,0.0,0.0,17.887918859505238,0.340837340775706,-0.5562396795662818
山梨県,190004,2023,96308.546,26239.583,18689.361,51379.602,87006.03,0.0,9302.516,800.0,0.0,0.0,0.0,270856.606,573586.922,544039.848,9.659076360679352,90.34092363932065,0.8306635633352828,8.599823961603507,35.55702311355108,3.434480014122306,-0.37481671827866236
長野県,200000,2023,143933.451,40489.039,19848.392,83596.02,137652.021,0.0,6238.774,4328.762,0.0,42.656,42.656,523193.843,1098347.683,1079564.34,4.334485108677065,95.63587897298454,3.0074746140839768,69.38481823512119,27.510539912833032,1.1924402558384082,-0.5333827993814246
岐阜県,210005,2023,109598.169,36137.419,36309.807,37150.943,68107.832,0.0,41490.337,29991.255,0.0,0.0,0.0,490011.911,876508.334,859178.419,37.85677934090304,62.143220659096954,27.364740920078695,72.28491540090407,22.366429578484265,8.467209891965258,6.56234757317317
静岡県,220001,2023,138766.81,5731.748,80407.573,52627.489,110715.978,0.0,28050.832,17462.881,0.0,0.0,0.0,737591.268,1269197.338,1250356.192,20.214366821576427,79.78563317842358,12.584335548248173,62.25441370152587,18.813510411568483,3.803032006609926,1.4438550622438733
