決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:令和4年度末現在高,002:令和5年度・歳出決算額,003:令和5年度・取崩し額,004:令和5年度・歳計剰余金処分によるもの,005:調整額,006:令和5年度末現在高,007:6列の管理状況・現金・預金,008:6列の管理状況・信託,009:6列の管理状況・有価証券,010:6列の管理状況・有価証券・うち地方債,011:6列の管理状況・出資金,012:6列の管理状況・その他
2023,62,50008,秋田県,秋田県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,30238857,13566195,13460101,0,38918,30383869,29077503,0,1050000,0,0,256366
2023,62,60003,山形県,山形県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,27997105,3490097,6651908,0,-830,24834464,23020091,0,1789445,0,0,24928
2023,62,70009,福島県,福島県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,466233458,68429287,66261461,0,19771,468421055,389804103,0,78494755,2399483,0,122197
2023,62,80004,茨城県,茨城県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,102924886,15088370,9902930,0,-333,108109993,107905634,0,0,0,0,204359
2023,62,90000,栃木県,栃木県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,47518733,11678582,9260234,0,-5267,49931814,41267953,0,8340000,6390000,0,323861
2023,62,100005,群馬県,群馬県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,26004164,12449711,6454766,0,-10320,31988789,29073234,0,2845916,2545916,0,69639
2023,62,110001,埼玉県,埼玉県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,129980941,18003269,23364088,0,0,124620122,52054582,0,72565540,71333939,0,0
2023,62,120006,千葉県,千葉県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,250547827,18769640,13053609,0,3,256263861,256163861,0,100000,0,0,0
2023,62,130001,東京都,東京都,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,1711767322,387611842,137826561,0,0,1961552603,1851772658,0,104000000,0,0,5779945
2023,62,140007,神奈川県,神奈川県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,219256828,99248183,68981551,0,0,249523460,232304167,0,17002196,17002196,0,217097
2023,62,150002,新潟県,新潟県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,30423163,12458562,6317912,0,1200820,37764633,36485500,0,1200000,0,0,79133
2023,62,160008,富山県,富山県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,30522820,9764738,4091369,0,-1311690,34884499,32302128,0,2484314,560000,0,98057
2023,62,170003,石川県,石川県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,69238740,8519418,3413547,0,2,74344613,73677296,0,10029,0,0,657288
2023,62,180009,福井県,福井県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,23817932,16191959,6663452,0,-695,33345744,32445744,0,900000,0,0,0
2023,62,190004,山梨県,山梨県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,49637206,5936266,4193920,0,50,51379602,42077086,0,9302516,800000,0,0
2023,62,200000,長野県,長野県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,61119483,29022184,6537157,0,-8490,83596020,77314590,0,6238774,4328762,0,42656
2023,62,210005,岐阜県,岐阜県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,33464627,10962531,7279865,0,3650,37150943,37150943,0,0,0,0,0
2023,62,220001,静岡県,静岡県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,52395260,13622161,13389932,0,0,52627489,24576657,0,28050832,17462881,0,0
2023,62,230006,愛知県,愛知県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,93276748,33670591,16981473,0,-9586,109956280,105507119,0,4196504,4196504,0,252657
2023,62,240001,三重県,三重県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,25441526,15024872,5428144,0,0,35038254,34266695,0,771559,771559,0,0
2023,62,250007,滋賀県,滋賀県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,42378457,10532354,4591347,0,-37807,48281657,45836354,0,2276591,0,0,168712
2023,62,260002,京都府,京都府,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,18978323,14459760,6646736,0,0,26791347,24791635,0,1999712,1200000,0,0
2023,62,270008,大阪府,大阪府,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,120824892,19190129,23034571,0,-105485,116874965,109117491,0,5904284,2212473,0,1853190
2023,62,280003,兵庫県,兵庫県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,98187438,24904780,15575172,0,0,107517046,99649149,0,5638000,0,0,2229897
2023,62,290009,奈良県,奈良県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,150385072,4835600,8939736,0,-13730,146267206,119883926,0,26300000,0,0,83280
2023,62,300004,和歌山県,和歌山県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,48901281,9986617,8015185,0,0,50872713,50872713,0,0,0,0,0
2023,62,310000,鳥取県,鳥取県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,48394607,11833405,10828515,0,0,49399497,46880627,0,2518870,2518870,0,0
2023,62,320005,島根県,島根県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,20541112,7938654,3493276,0,-9327,24977163,18166487,0,6810676,767100,0,0
2023,62,330001,岡山県,岡山県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,55193118,8679295,7982119,0,0,55890294,49988538,0,5901756,3962810,0,0
2023,62,340006,広島県,広島県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,120485689,23627708,25481485,0,16376,118648288,117634525,0,0,0,0,1013763
2023,62,350001,山口県,山口県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,42323222,13104377,6142266,0,1,49285334,49262665,0,0,0,0,22669
2023,62,360007,徳島県,徳島県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,42356239,12190416,10145543,0,-3372,44397740,43645763,0,706514,0,0,45463
2023,62,370002,香川県,香川県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,29461799,6647022,3991093,0,0,32117728,32117728,0,0,0,0,0
2023,62,380008,愛媛県,愛媛県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,66677339,25515771,11428857,0,0,80764253,79268042,0,1496211,0,0,0
2023,62,390003,高知県,高知県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,15539078,5808009,3758275,0,22023,17610835,17355374,0,0,0,0,255461
2023,62,400009,福岡県,福岡県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,65287203,29683331,12509201,0,15365,82476698,63909586,0,18491986,3442064,0,75126
2023,62,410004,佐賀県,佐賀県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,38801197,7418799,5726549,0,-725,40492722,40440986,0,0,0,0,51736
2023,62,420000,長崎県,長崎県,,31,基金の状況・その1　積立基金現在高の状況,3,積立基金・その他特定目的基金,53714355,10978049,10091987,0,-4,54600413,36929462,0,17670951,7267780,0,0
